generation,N_shifts,logPrior,logLik,eventRate,acceptRate
3910000,43,-121.143,-10720.7,43.5223,0.4353
3920000,47,-123.757,-10705.9,43.8504,0.4345
3930000,34,-100.357,-10731.2,32.6812,0.4436
3940000,43,-121.637,-10760.7,52.7508,0.4426
3950000,39,-108.08,-10745.7,35.8646,0.4386
3960000,46,-119.865,-10778.8,34.1843,0.4422
3970000,43,-120.487,-10813.2,41.6418,0.4417
3980000,33,-106.404,-10834.4,32.6948,0.4474
3990000,37,-108.041,-10823.6,33.0008,0.4437
4000000,35,-90.9981,-10813.8,31.2169,0.4423
4010000,39,-109.471,-10772.6,28.8198,0.4371
4020000,41,-121.105,-10813.8,48.557,0.4324
4030000,49,-132.642,-10825.1,52.535,0.4328
4040000,47,-133.657,-10796.1,50.6334,0.4441
4050000,37,-111.355,-10783,43.196,0.4438
4060000,49,-129.944,-10792.1,42.2834,0.4439
4070000,42,-113.953,-10747.3,39.4665,0.4425
4080000,48,-134.686,-10800.9,47.7432,0.4372
4090000,43,-132.209,-10829.2,37.3035,0.4385
4100000,46,-123.072,-10847,36.9702,0.4501
4110000,36,-101.18,-10851.7,35.229,0.4418
4120000,47,-117.959,-10865.6,51.4886,0.449
4130000,49,-137.532,-10837.3,58.2306,0.4543
4140000,51,-137.709,-10771.4,46.3632,0.4445
4150000,44,-122.584,-10862.6,37.4999,0.4374
4160000,44,-129.6,-10823.2,45.8527,0.4468
4170000,52,-141.461,-10849.2,59.7692,0.4485
4180000,34,-104.846,-10811.3,37.5743,0.4525
4190000,43,-121.182,-10849,45.7382,0.4526
4200000,46,-140.94,-10873.4,36.2639,0.4543
4210000,50,-134.956,-10886.7,66.1205,0.4597
4220000,46,-124.915,-10862.6,34.6138,0.4468
4230000,56,-158.354,-10855.9,51.0478,0.4478
4240000,42,-115.489,-10886.7,35.4297,0.4544
4250000,41,-111.424,-10833.6,30.17,0.4463
4260000,47,-125.501,-10765.2,49.7423,0.445
4270000,35,-98.4493,-10799.1,29.0886,0.4429
4280000,44,-121.554,-10803.5,45.4314,0.4407
4290000,35,-108.46,-10802.6,30.9046,0.4481
4300000,53,-145.613,-10785.3,52.7516,0.4416
4310000,45,-128.742,-10776.5,56.4998,0.4436
4320000,50,-145.285,-10814.9,56.5556,0.447
4330000,48,-122.263,-10800.6,42.3705,0.4535
4340000,37,-109.619,-10839,43.0114,0.4447
4350000,37,-109.169,-10838.2,38.8903,0.4408
4360000,42,-117.448,-10857.7,32.2466,0.4407
4370000,40,-120.588,-10867.8,35.3443,0.4489
4380000,36,-100.777,-10801.4,39.2778,0.4436
4390000,44,-111.39,-10766.6,39.4076,0.4372
4400000,37,-105.543,-10789.3,42.0466,0.4346
4410000,34,-91.1775,-10766.4,24.6714,0.4341
4420000,50,-139.348,-10742.9,63.05,0.4292
4430000,36,-116.065,-10730.6,43.5232,0.4456
4440000,49,-139.249,-10717.8,53.0147,0.4427
4450000,54,-149.17,-10799.6,50.1045,0.4435
4460000,55,-160.161,-10777.5,67.5158,0.4441
